Sno.,Text,Sentiment,Timestamp,User,Platform,Weekday,TimePeriod,Likes,Comments,Shares,Engagement,TextLength,WordCount,HashtagCount,MentionCount,EmojiCount,ExclamationCount,Hour,IsWeekend,EngagementPerWord,LikeRatio,CommentRatio,ShareRatio
271,Motivated to achieve fitness goals after an invigorating workout.  ,0,2022-02-28 07:15:00, FitnessJunkie   ,Facebook ,Monday,Morning,691,155,60,906,67,9,0,0,1,0,7,False,90.6,0.7618522601984564,0.17089305402425578,0.06615214994487321
272,Gratitude for the simple joys found in a cup of morning coffee.    ,0,2017-04-15 08:00:00, CoffeeLover     ,Twitter ,Saturday,Morning,269,89,48,406,67,12,0,0,1,0,8,True,31.23076923076923,0.6609336609336609,0.21867321867321868,0.11793611793611794
273,Feeling empowered after conquering a challenging hiking trail.     ,0,2018-09-05 14:20:00, HikingExplorer  ,Instagram ,Wednesday,Afternoon,615,151,29,795,67,8,0,0,1,0,14,False,88.33333333333333,0.7726130653266332,0.18969849246231155,0.0364321608040201
274,Amused by the antics of playful kittens during playtime.           ,0,2022-10-22 12:45:00, KittyObserver   ,Facebook ,Saturday,Afternoon,904,116,97,1117,67,9,0,0,1,0,12,True,111.7,0.8085867620751341,0.1037567084078712,0.08676207513416816
275,Contemplating life's mysteries under the starry night sky.         ,0,2016-07-02 23:30:00, Stargazer       ,Twitter ,Saturday,Night,785,129,10,924,67,8,0,0,2,0,23,True,102.66666666666667,0.8486486486486486,0.13945945945945945,0.010810810810810811
276,Joyful reunion with long-lost friends after years of separation.   ,0,2020-11-18 17:10:00, FriendshipRenewal ,Instagram ,Wednesday,Evening,274,151,58,483,67,9,0,0,2,0,17,False,48.3,0.5661157024793388,0.3119834710743802,0.11983471074380166
277,Excitement builds while preparing for a surprise celebration.     ,0,2023-03-05 15:00:00, CelebrationPlanner ,Facebook ,Sunday,Afternoon,434,40,60,534,66,8,0,0,1,0,15,True,59.333333333333336,0.811214953271028,0.07476635514018691,0.11214953271028037
278,Satisfaction derived from successfully completing a DIY project.  ,0,2015-12-01 11:30:00, DIYEnthusiast   ,Twitter ,Tuesday,Morning,452,33,21,506,66,8,0,0,1,0,11,False,56.22222222222222,0.8915187376725838,0.0650887573964497,0.04142011834319527
279,Feeling blessed for the supportive community in times of need.    ,0,2021-09-10 09:45:00, CommunityHelper ,Instagram ,Friday,Morning,687,192,28,907,66,10,0,0,1,0,9,False,82.45454545454545,0.7566079295154186,0.21145374449339208,0.030837004405286344
280,Captivated by the serenity of a tranquil garden in full bloom.     ,0,2018-05-12 14:20:00, GardenEnthusiast ,Facebook ,Saturday,Afternoon,179,86,75,340,67,11,0,0,1,0,14,True,28.333333333333332,0.5249266862170088,0.25219941348973607,0.21994134897360704
281,Anticipation for an upcoming adventure in an exotic destination.   ,0,2022-07-25 10:00:00, Wanderlust      ,Twitter ,Monday,Morning,102,6,34,142,67,9,0,0,1,0,10,False,14.2,0.7132867132867133,0.04195804195804196,0.23776223776223776
282,Reflecting on personal growth achieved through life experiences.  ,0,2019-03-08 18:30:00, GrowthSeeker    ,Instagram ,Friday,Evening,733,133,8,874,66,8,0,0,1,0,18,False,97.11111111111111,0.8377142857142857,0.152,0.009142857142857144
283,Nostalgic memories flood in while revisiting childhood favorites. ,0,2017-01-28 21:15:00, ChildhoodMemories ,Facebook ,Saturday,Night,779,51,59,889,66,8,0,0,1,0,21,True,98.77777777777777,0.8752808988764045,0.05730337078651685,0.06629213483146068
284,Appreciation for the vibrant culture experienced during travel.   ,0,2016-11-14 13:45:00, CultureExplorer ,Twitter ,Monday,Afternoon,721,152,86,959,66,8,0,0,1,0,13,False,106.55555555555556,0.7510416666666667,0.15833333333333333,0.08958333333333333
285,Confidence soars after overcoming public speaking anxiety.       ,0,2020-04-02 17:30:00, PublicSpeaker   ,Instagram ,Thursday,Evening,759,15,72,846,65,7,0,0,1,0,17,False,105.75,0.8961038961038961,0.01770956316410862,0.08500590318772137
286,Contentment in the midst of a family gathering filled with laughter. ,0,2023-01-15 19:00:00, FamilyCelebration ,Facebook ,Sunday,Evening,465,134,49,648,69,11,0,0,1,0,19,True,54.0,0.7164869029275809,0.20647149460708783,0.07550077041602465
287,Enthusiasm for learning new skills and expanding knowledge.      ,0,2018-08-07 12:15:00, LifelongLearner ,Twitter ,Tuesday,Afternoon,296,199,79,574,65,8,0,0,1,0,12,False,63.77777777777778,0.5147826086956522,0.34608695652173915,0.1373913043478261
288,Surprise and delight at discovering a hidden gem in the city.    ,0,2019-10-18 16:45:00, CityExplorer    ,Instagram ,Friday,Afternoon,885,123,17,1025,65,11,0,0,1,0,16,False,85.41666666666667,0.8625730994152047,0.11988304093567251,0.016569200779727095
289,A sense of accomplishment after completing a challenging workout.,0,2022-06-30 07:00:00, FitnessAchiever ,Facebook ,Thursday,Morning,488,144,60,692,65,9,0,0,1,0,7,False,69.2,0.7041847041847041,0.2077922077922078,0.08658008658008658
290,Wonderment at the beauty of a double rainbow after the rain.     ,0,2017-06-12 18:20:00, RainbowChaser   ,Twitter ,Monday,Evening,252,24,87,363,65,11,0,0,1,0,18,False,30.25,0.6923076923076923,0.06593406593406594,0.23901098901098902
291,Optimism for a bright future amidst challenging times.           ,0,2021-07-05 09:30:00, FutureOptimist  ,Instagram ,Monday,Morning,233,9,88,330,65,8,0,0,1,0,9,False,36.666666666666664,0.7039274924471299,0.027190332326283987,0.26586102719033233
292,Pride in achieving a personal milestone in career progression.   ,0,2016-04-15 14:50:00, CareerAchiever  ,Facebook ,Friday,Afternoon,172,41,45,258,65,9,0,0,1,0,14,False,25.8,0.6640926640926641,0.1583011583011583,0.17374517374517376
293,Happiness blooms like flowers in a garden on a sunny day.        ,0,2020-02-10 11:15:00, SunnyDayEnthusiast ,Twitter ,Monday,Morning,450,170,83,703,65,11,0,0,1,0,11,False,58.583333333333336,0.6392045454545454,0.24147727272727273,0.11789772727272728
294,Elation over discovering a rare book in a quaint bookstore.      ,0,2018-09-22 16:30:00, Bookworm        ,Instagram ,Saturday,Afternoon,816,141,69,1026,65,10,0,0,1,0,16,True,93.27272727272727,0.7945472249269717,0.13729308666017526,0.06718597857838364
295,Curiosity piqued by the mysteries of an ancient archaeological site.,0,2015-11-08 10:00:00, ArchaeologyEnthusiast ,Facebook ,Sunday,Morning,343,57,32,432,68,10,0,0,1,0,10,True,39.27272727272727,0.792147806004619,0.13163972286374134,0.07390300230946882
296,Mesmerized by the cosmic dance of fireflies on a moonlit night.    ,0,2022-08-10 22:00:00, NightSkyObserver ,Instagram ,Wednesday,Night,329,176,44,549,67,11,0,0,1,0,22,False,45.75,0.5981818181818181,0.32,0.08
297,Intrigued by the symphony of colors in an abstract art exhibition. ,0,2019-04-05 17:30:00, ArtConnoisseur  ,Twitter ,Friday,Evening,886,103,65,1054,67,11,0,0,1,0,17,False,87.83333333333333,0.8398104265402844,0.0976303317535545,0.061611374407582936
298,Giggles and joy echo in the air during a children's playdate.      ,0,2020-12-15 15:45:00, PlayfulParent   ,Facebook ,Tuesday,Afternoon,933,90,87,1110,67,11,0,0,2,0,15,False,92.5,0.8397839783978398,0.081008100810081,0.0783078307830783
299,Enveloped in serenity while practicing mindfulness by the lake.    ,0,2017-10-20 08:15:00, ZenSeeker       ,Instagram ,Friday,Morning,659,112,8,779,67,9,0,0,1,0,8,False,77.9,0.8448717948717949,0.14358974358974358,0.010256410256410256
300,Chasing dreams like a kite soaring high in the vast open sky.      ,0,2021-02-28 13:00:00, SkyDreamer      ,Twitter ,Sunday,Afternoon,247,28,77,352,67,12,0,0,1,0,13,True,27.076923076923077,0.6997167138810199,0.07932011331444759,0.21813031161473087
301,Spellbound by the elegance of a ballroom dance under crystal chandeliers. ,0,2018-06-12 20:30:00, DanceEnthusiast ,Facebook ,Tuesday,Evening,956,85,72,1113,74,11,0,0,1,0,20,False,92.75,0.8581687612208259,0.0763016157989228,0.06463195691202872
302,Whimsical delight in a world of fairy tales and magical creatures.  ,0,2016-03-08 14:20:00, FairyTaleExplorer ,Instagram ,Tuesday,Afternoon,560,162,87,809,68,11,0,0,1,0,14,False,67.41666666666667,0.691358024691358,0.2,0.10740740740740741
303,Pensive contemplation amid the ancient ruins of a forgotten civilization. ,0,2023-04-18 17:10:00, RuinsExplorer   ,Twitter ,Tuesday,Evening,801,124,43,968,74,10,0,0,1,0,17,False,88.0,0.826625386996904,0.12796697626418987,0.04437564499484004
304,Embracing the thrill of speed on a rollercoaster's exhilarating twists. ,0,2020-07-25 12:45:00, RollercoasterFan ,Facebook ,Saturday,Afternoon,193,63,1,257,72,10,0,0,2,0,12,True,23.363636363636363,0.748062015503876,0.2441860465116279,0.003875968992248062
305,Harmony resonates as musicians play a melody of unity and togetherness. ,0,2019-11-30 19:30:00, MusicHarmonist  ,Instagram ,Saturday,Evening,658,132,51,841,72,11,0,0,1,0,19,True,70.08333333333333,0.7814726840855107,0.15676959619952494,0.060570071258907364
306,Whispers of inspiration from the rustling leaves in a serene forest. ,0,2016-11-15 11:45:00, ForestDreamer   ,Facebook ,Tuesday,Morning,250,118,24,392,69,11,0,0,1,0,11,False,32.666666666666664,0.6361323155216285,0.30025445292620867,0.061068702290076333
307,Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,0,2020-01-12 18:00:00, WinterWarmth    ,Instagram ,Sunday,Evening,173,119,99,391,68,13,0,0,1,0,18,True,27.928571428571427,0.4413265306122449,0.30357142857142855,0.25255102040816324
308,Heartfelt gratitude for the laughter shared during a family reunion. ,0,2017-12-28 19:15:00, FamilyGatherer ,Facebook ,Thursday,Evening,236,18,24,278,69,10,0,0,1,0,19,False,25.272727272727273,0.8458781362007168,0.06451612903225806,0.08602150537634409
309,"Embarking on a culinary odyssey, savoring flavors around the world. ",0,2019-03-02 20:20:00, CulinaryExplorer ,Twitter ,Saturday,Evening,375,13,17,405,68,10,0,0,1,0,20,True,36.81818181818182,0.9236453201970444,0.03201970443349754,0.04187192118226601
310,Euphoria floods in as the final puzzle piece fits perfectly.       ,0,2022-06-08 15:30:00, PuzzleSolver    ,Instagram ,Wednesday,Afternoon,513,44,5,562,67,10,0,0,1,0,15,False,51.09090909090909,0.911190053285968,0.07815275310834814,0.008880994671403197
311,Awe-struck by the grandeur of an ancient cathedral's intricate architecture. ,0,2018-08-18 14:45:00, CathedralVisitor ,Facebook ,Saturday,Afternoon,398,198,20,616,77,10,0,0,3,0,14,True,56.0,0.6450567260940032,0.3209076175040519,0.03241491085899514
312,Curiosity awakened by the mysteries of an ancient archaeological site. ,0,2015-11-08 10:00:00, ArchaeologyEnthusiast ,Instagram ,Sunday,Morning,820,29,21,870,71,10,0,0,1,0,10,True,79.0909090909091,0.9414466130884042,0.03329506314580941,0.024110218140068886
313,Giddy with excitement as the first snowflakes dance from the sky. ,0,2020-12-02 17:30:00, SnowfallEnthusiast ,Twitter ,Wednesday,Evening,709,107,58,874,66,11,0,0,1,0,17,False,72.83333333333333,0.8102857142857143,0.12228571428571429,0.06628571428571428
314,Contentment envelops as the aroma of freshly baked bread fills the air. ,0,2017-06-10 12:15:00, BreadLover     ,Instagram ,Saturday,Afternoon,813,26,31,870,72,12,0,0,1,0,12,True,66.92307692307692,0.9334098737083811,0.029850746268656716,0.03559127439724455
315,Inspired by the resilience of a lone tree standing tall in a storm. ,0,2021-04-15 14:20:00, NatureResilient ,Facebook ,Thursday,Afternoon,981,8,11,1000,68,13,0,0,1,0,14,False,71.42857142857143,0.98001998001998,0.007992007992007992,0.01098901098901099
316,"Lost in the pages of a captivating novel, transported to another world. ",0,2019-09-28 19:45:00, Bookworm       ,Twitter ,Saturday,Evening,452,158,52,662,72,12,0,0,1,0,19,True,50.92307692307692,0.6817496229260935,0.2383107088989442,0.0784313725490196
317,Drenched in nostalgia while flipping through an old family photo album. ,0,2016-12-05 21:00:00, FamilyHistorian ,Instagram ,Monday,Night,395,190,15,600,72,11,0,0,1,0,21,False,50.0,0.6572379367720466,0.3161397670549085,0.024958402662229616
318,Spark of inspiration ignites like a shooting star in the night sky. ,0,2018-02-10 23:30:00, NightSkyWatcher ,Facebook ,Saturday,Night,560,33,83,676,68,12,0,0,1,0,23,True,52.0,0.827178729689808,0.04874446085672083,0.12259970457902511
319,Imbued with gratitude for the simple pleasure of a warm cup of tea. ,0,2023-02-15 08:30:00, TeaEnthusiast  ,Twitter ,Wednesday,Morning,196,113,7,316,68,13,0,0,1,0,8,False,22.571428571428573,0.6182965299684543,0.35646687697160884,0.022082018927444796
320,Marveling at the kaleidoscope of colors in a vibrant street market. ,0,2015-08-22 15:00:00, MarketExplorer ,Instagram ,Saturday,Afternoon,197,102,28,327,68,11,0,0,1,0,15,True,27.25,0.600609756097561,0.31097560975609756,0.08536585365853659
321,Awash with serenity as the sun sets over a tranquil lakeside retreat. ,0,2020-11-20 18:45:00, LakesideRetreater ,Facebook ,Friday,Evening,913,41,51,1005,70,12,0,0,1,0,18,False,77.3076923076923,0.9075546719681908,0.040755467196819085,0.05069582504970179
322,Drowning in sorrow as memories of lost love resurface.            ,1,2019-08-05 21:00:00, LostInLove      ,Instagram ,Monday,Night,760,79,58,897,66,9,0,0,1,0,21,False,89.7,0.8463251670378619,0.08797327394209355,0.0645879732739421
323,Numbness sets in as the weight of loneliness grows heavier.       ,1,2021-02-12 16:45:00, SolitudeSeeker ,Twitter ,Friday,Afternoon,869,74,5,948,66,10,0,0,1,0,16,False,86.18181818181819,0.9157007376185459,0.0779768177028451,0.005268703898840885
324,"Tears fall like raindrops, mourning the end of a cherished friendship. ",1,2020-11-28 14:20:00, FriendshipsEnd  ,Facebook ,Saturday,Afternoon,538,150,5,693,71,11,0,0,1,0,14,True,57.75,0.7752161383285303,0.21613832853025935,0.007204610951008645
325,"Despair clouds the mind, feeling adrift in an endless sea of darkness. ",1,2016-05-15 22:30:00, LostInDarkness  ,Instagram ,Sunday,Night,978,132,94,1204,71,12,0,0,1,0,22,True,92.61538461538461,0.8116182572614108,0.10954356846473029,0.07800829875518672
326,"Shattered by betrayal, trust crumbles like fragile glass.          ",1,2018-09-10 13:15:00, BrokenTrust     ,Twitter ,Monday,Afternoon,985,89,96,1170,67,8,0,0,1,0,13,False,130.0,0.8411614005123825,0.07600341588385995,0.08198121263877028
327,"Aching heart, the symphony of pain plays in the silence of solitude. ",1,2022-03-20 19:30:00, SilentSufferer  ,Facebook ,Sunday,Evening,689,46,8,743,69,12,0,0,1,0,19,True,57.15384615384615,0.9260752688172043,0.06182795698924731,0.010752688172043012
328,"Emotional storm, a whirlwind of sadness engulfs every thought.    ",1,2017-07-18 17:45:00, StormyFeelings  ,Instagram ,Tuesday,Evening,600,104,64,768,66,9,0,0,1,0,17,False,76.8,0.7802340702210663,0.1352405721716515,0.08322496749024708
329,"Haunted by regrets, the ghost of the past lingers relentlessly.   ",1,2018-12-15 10:00:00, LingeringGhost  ,Twitter ,Saturday,Morning,387,45,10,442,66,10,0,0,1,0,10,True,40.18181818181818,0.873589164785553,0.10158013544018059,0.022573363431151242
330,"Torn apart by grief, the echoes of loss reverberate through the soul. ",1,2015-06-28 21:15:00, EchoesOfLoss    ,Facebook ,Sunday,Night,921,170,38,1129,70,12,0,0,1,0,21,True,86.84615384615384,0.8150442477876106,0.1504424778761062,0.033628318584070796
331,"Isolation deepens, an emotional winter where warmth is but a distant memory. ",1,2020-04-02 14:20:00, WinterOfEmotions ,Instagram ,Thursday,Afternoon,690,38,96,824,77,12,0,0,1,0,14,False,63.38461538461539,0.8363636363636363,0.04606060606060606,0.11636363636363636
332,"Soul-crushing disappointment, hopes shattered like fragile glass. ",1,2019-10-08 18:30:00, ShatteredHopes  ,Twitter ,Tuesday,Evening,828,21,92,941,66,7,0,0,2,0,18,False,117.625,0.8789808917197452,0.022292993630573247,0.09766454352441614
333,"Painful echoes of a love once cherished, now lost in the abyss of time. ",1,2016-11-22 09:45:00, AbyssOfTime     ,Facebook ,Tuesday,Morning,522,169,81,772,72,14,0,0,1,0,9,False,51.46666666666667,0.6752910737386805,0.2186287192755498,0.10478654592496765
334,"Heartache deepens, a solitary journey through the abyss of despair. ",1,2022-08-18 22:00:00, SolitaryDescent ,Instagram ,Thursday,Night,995,157,95,1247,68,10,0,0,1,0,22,False,113.36363636363636,0.7972756410256411,0.12580128205128205,0.07612179487179487
335,"Melancholy lingers, a bittersweet serenade in the quietude of solitude. ",1,2017-03-12 23:30:00, SerenadeOfSolitude ,Twitter ,Sunday,Night,200,126,8,334,72,10,0,0,1,0,23,True,30.363636363636363,0.5970149253731343,0.3761194029850746,0.023880597014925373
336,"Bitterness like a poison, seeping into every crevice of the wounded heart. ",1,2015-12-15 16:15:00, PoisonedHeart   ,Facebook ,Tuesday,Afternoon,464,80,25,569,75,12,0,0,1,0,16,False,43.76923076923077,0.8140350877192982,0.14035087719298245,0.043859649122807015
337,"Emotional exhaustion, the weight of the world crushing weary shoulders. ",1,2021-09-05 13:30:00, WearySoulCrushed ,Instagram ,Sunday,Afternoon,347,91,73,511,72,10,0,0,1,0,13,True,46.45454545454545,0.677734375,0.177734375,0.142578125
338,"Sorrowful echoes, a symphony of pain played by the strings of loss. ",1,2018-05-22 20:45:00, StringsOfSorrow ,Twitter ,Tuesday,Evening,660,121,66,847,68,12,0,0,1,0,20,False,65.15384615384616,0.7783018867924528,0.14268867924528303,0.07783018867924528
339,"Darkness descends, engulfing the soul in the shadows of despair.  ",1,2016-07-10 18:20:00, SoulInShadow    ,Facebook ,Sunday,Evening,312,110,79,501,66,10,0,0,1,0,18,True,45.54545454545455,0.6215139442231076,0.21912350597609562,0.15737051792828685
340,"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",1,2019-04-30 14:00:00, WhisperedDespair ,Instagram ,Tuesday,Afternoon,813,90,50,953,74,13,0,0,1,0,14,False,68.07142857142857,0.8522012578616353,0.09433962264150944,0.05241090146750524
341,"Heart in ruins, the remnants of shattered dreams scattered in the wind. ",1,2022-01-08 11:30:00, DreamsInWind    ,Twitter ,Saturday,Morning,193,31,67,291,72,12,0,0,1,0,11,True,22.384615384615383,0.660958904109589,0.10616438356164383,0.22945205479452055
342,"Shattered by the echoes of a shattered dream, fragments of hope scattered. ",1,2017-09-10 19:15:00, DreamEchoes ,Twitter ,Sunday,Evening,395,61,49,505,75,12,0,0,1,0,19,True,38.84615384615385,0.7806324110671937,0.12055335968379446,0.09683794466403162
343,"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",1,2022-04-18 11:30:00, RemorseWalker ,Instagram ,Monday,Morning,673,35,36,744,72,12,0,0,1,0,11,False,57.23076923076923,0.9033557046979865,0.04697986577181208,0.04832214765100671
344,"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ",1,2018-12-05 21:45:00, JoyLabyrinth ,Facebook ,Wednesday,Night,621,138,68,827,74,14,0,0,1,0,21,False,55.13333333333333,0.75,0.16666666666666666,0.0821256038647343
345,"A soul adrift in the sea of solitude, waves of loneliness crashing relentlessly. ",1,2016-06-28 14:20:00, SolitudeSeas ,Twitter ,Tuesday,Afternoon,930,172,78,1180,81,13,0,0,1,0,14,False,84.28571428571429,0.7874682472480948,0.14563928873835733,0.06604572396274344
346,"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",1,2019-10-22 17:00:00, PalateStainer ,Instagram ,Tuesday,Evening,51,102,41,194,80,13,0,0,1,0,17,False,13.857142857142858,0.26153846153846155,0.5230769230769231,0.21025641025641026
347,"In the ruins of hope, echoes of shattered dreams whisper tales of loss. ",1,2021-03-15 22:45:00, HopeRuins ,Facebook ,Monday,Night,946,16,89,1051,72,13,0,0,1,0,22,False,75.07142857142857,0.8992395437262357,0.015209125475285171,0.08460076045627377
348,"Sinking like a stone in the ocean of heartbreak, each ripple a sigh of despair. ",1,2017-08-10 19:30:00, OceanSinker ,Twitter ,Thursday,Evening,353,57,62,472,80,15,0,0,1,0,19,False,29.5,0.7463002114164905,0.12050739957716702,0.13107822410147993
349,"Tears, the ink staining the pages of a journal, a testament to silent grief. ",1,2023-01-28 14:30:00, InkJournalist ,Instagram ,Saturday,Afternoon,303,142,10,455,77,14,0,0,1,0,14,True,30.333333333333332,0.6644736842105263,0.31140350877192985,0.021929824561403508
350,"In the wasteland of lost trust, the echoes of broken promises reverberate. ",1,2016-12-12 10:00:00, TrustWasteland ,Facebook ,Monday,Morning,701,177,21,899,75,12,0,0,1,0,10,False,69.15384615384616,0.7788888888888889,0.19666666666666666,0.023333333333333334
351,"Avoiding the shards of shattered dreams, walking the tightrope of resilience. ",1,2020-07-18 15:15:00, DreamTightrope ,Twitter ,Saturday,Afternoon,502,149,36,687,78,11,0,0,1,0,15,True,57.25,0.7296511627906976,0.21656976744186046,0.05232558139534884
352,"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",1,2022-05-20 20:30:00, EchoedLaughter ,Instagram ,Friday,Evening,86,158,12,256,79,12,0,0,1,0,20,False,19.692307692307693,0.3346303501945525,0.6147859922178989,0.04669260700389105
353,"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",1,2019-11-08 14:45:00, PossibilityGhost ,Twitter ,Friday,Afternoon,209,194,91,494,81,14,0,0,1,0,14,False,32.93333333333333,0.4222222222222222,0.39191919191919194,0.18383838383838383
354,"In the labyrinth of despair, the echoes of a broken heart reverberate endlessly. ",1,2017-03-28 22:00:00, EndlessLabyrinth ,Facebook ,Tuesday,Night,58,126,2,186,81,13,0,0,1,0,22,False,13.285714285714286,0.31016042780748665,0.6737967914438503,0.0106951871657754
355,"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",1,2020-09-15 18:15:00, RiverOfSorrow ,Instagram ,Tuesday,Evening,282,50,13,345,80,14,0,0,1,0,18,False,23.0,0.815028901734104,0.14450867052023122,0.03757225433526012
356,"In the garden of broken dreams, petals fall, a silent testimony to shattered hopes. ",1,2018-06-10 13:30:00, DreamGardener ,Twitter ,Sunday,Afternoon,148,68,53,269,84,14,0,0,1,0,13,True,17.933333333333334,0.5481481481481482,0.2518518518518518,0.1962962962962963
357,"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",1,2016-12-22 21:45:00, CurrencyOfTears ,Facebook ,Thursday,Night,708,134,32,874,81,14,0,0,1,0,21,False,58.266666666666666,0.8091428571428572,0.15314285714285714,0.036571428571428574
358,"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",1,2021-01-05 16:20:00, MazeWanderer ,Instagram ,Tuesday,Afternoon,865,58,95,1018,79,14,0,0,1,0,16,False,67.86666666666666,0.8488714425907753,0.05691854759568204,0.09322865554465162
359,"A soul weathered by the storm of heartbreak, seeking refuge in the calm after. ",1,2019-04-18 11:00:00, StormSeeker ,Twitter ,Thursday,Morning,257,111,16,384,79,14,0,0,1,0,11,False,25.6,0.6675324675324675,0.2883116883116883,0.04155844155844156
360,"In the tapestry of despair, threads of hope unravel, leaving a portrait of sorrow. ",1,2017-08-28 19:30:00, TapestrySorrow ,Facebook ,Monday,Evening,180,197,32,409,83,14,0,0,1,0,19,False,27.266666666666666,0.43902439024390244,0.48048780487804876,0.07804878048780488
361,"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",1,2023-02-10 14:30:00, WitheredRose ,Instagram ,Friday,Afternoon,453,55,32,540,85,16,0,0,1,0,14,False,31.764705882352942,0.8373382624768947,0.10166358595194085,0.059149722735674676
362,"In the void of heartache, echoes of a love song play, each note a pang of longing. ",1,2022-07-10 22:15:00, LoveSongEcho ,Instagram ,Sunday,Night,201,185,98,484,83,17,0,0,1,0,22,True,26.88888888888889,0.4144329896907217,0.38144329896907214,0.2020618556701031
363,"Nostalgia, a bittersweet dance in the moonlit ballroom of cherished memories. ",1,2019-05-15 21:30:00, MoonlitMemories ,Twitter ,Wednesday,Night,103,40,11,154,78,11,0,0,1,0,21,False,12.833333333333334,0.6645161290322581,0.25806451612903225,0.07096774193548387
364,"In the symphony of grief, each tear is a note, composing a melancholic melody. ",1,2018-11-28 14:00:00, SymphonyOfTears ,Facebook ,Wednesday,Afternoon,169,119,10,298,79,14,0,0,1,0,14,False,19.866666666666667,0.5652173913043478,0.3979933110367893,0.033444816053511704
365,"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. ",1,2021-03-02 17:45:00, VenomousGarden ,Instagram ,Tuesday,Evening,722,30,15,767,86,12,0,0,1,0,17,False,59.0,0.9401041666666666,0.0390625,0.01953125
366,"Sinking in the quicksand of despair, the harder you fight, the deeper you descend. ",1,2016-10-18 19:30:00, QuicksandFighter ,Twitter ,Tuesday,Evening,969,33,17,1019,83,14,0,0,1,0,19,False,67.93333333333334,0.95,0.03235294117647059,0.016666666666666666
367,"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",1,2020-08-15 12:30:00, DreamCemetery ,Facebook ,Saturday,Afternoon,677,153,40,870,82,11,0,0,1,0,12,True,72.5,0.7772675086107922,0.1756601607347876,0.045924225028702644
368,"Swept away by the river of regret, the currents of the past refusing to release. ",1,2017-04-28 16:20:00, RegretRiver ,Instagram ,Friday,Afternoon,636,15,18,669,81,15,0,0,1,0,16,False,41.8125,0.9492537313432836,0.022388059701492536,0.026865671641791045
369,"Whispers of lost love linger in the attic of the heart, forgotten but not erased. ",1,2019-09-10 21:00:00, HeartAttic ,Twitter ,Tuesday,Night,674,44,55,773,82,15,0,0,1,0,21,False,48.3125,0.8708010335917312,0.056847545219638244,0.0710594315245478
370,"In the gallery of broken promises, each shattered vow framed, a painful exhibition. ",1,2022-01-28 13:45:00, PromiseGallery ,Facebook ,Friday,Afternoon,469,15,73,557,84,13,0,0,1,0,13,False,39.785714285714285,0.8405017921146953,0.026881720430107527,0.13082437275985664
371,"The echoes of solitude, a silent conversation between a soul and its shadows. ",2,2016-06-15 22:30:00, EchoedConversation ,Instagram ,Wednesday,Night,471,168,25,664,78,13,0,0,1,0,22,False,47.42857142857143,0.7082706766917293,0.25263157894736843,0.03759398496240601
372,"Dancing on sunshine, each step a celebration of the joy found in simple moments. ",0,2021-08-20 15:45:00, SunshineDancer ,Instagram ,Friday,Afternoon,153,117,59,329,81,14,0,0,1,0,15,False,21.933333333333334,0.4636363636363636,0.35454545454545455,0.1787878787878788
373,"Laughter echoes in the air, a chorus of happiness that lifts the spirit higher. ",0,2018-04-12 18:30:00, EchoedLaughter ,Twitter ,Thursday,Evening,901,191,78,1170,80,14,0,0,1,0,18,False,78.0,0.7694278394534586,0.16310845431255339,0.06660973526900085
374,"In the garden of contentment, each bloom whispers tales of inner peace and joy. ",0,2022-02-15 12:20:00, GardenOfJoy ,Facebook ,Tuesday,Afternoon,303,43,89,435,80,14,0,0,1,0,12,False,29.0,0.694954128440367,0.09862385321100918,0.20412844036697247
375,"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ",0,2019-10-28 14:15:00, DreamChaser ,Instagram ,Monday,Afternoon,276,58,22,356,79,13,0,0,1,0,14,False,25.428571428571427,0.773109243697479,0.16246498599439776,0.06162464985994398
376,"Serenading the stars with a heart full of gratitude, a melody of thankfulness. ",0,2017-12-22 21:00:00, StarSerenader ,Twitter ,Friday,Night,161,102,30,293,79,13,0,0,1,0,21,False,20.928571428571427,0.5476190476190477,0.3469387755102041,0.10204081632653061
377,"Basking in the glow of accomplishment, each milestone a stepping stone to happiness. ",0,2020-06-10 17:30:00, GlowAchiever ,Facebook ,Wednesday,Evening,559,59,84,702,85,13,0,0,1,0,17,False,50.142857142857146,0.7951635846372689,0.08392603129445235,0.11948790896159317
378,"In the dance of positivity, every step is a rhythm, uplifting the soul in harmony. ",0,2016-09-18 19:45:00, DanceHarmony ,Instagram ,Sunday,Evening,522,115,85,722,83,15,0,0,1,0,19,True,45.125,0.7219917012448133,0.1590594744121715,0.11756569847856155
